wsif_year,school_organization_id,school_name,student_group,school_level,regular_attendance_numerator,regular_attendance_denominator,regular_attendance_rate
2017,"100,855",Lake Roosevelt Jr/Sr High School,All Students,High,589,988,0.596153846153846
2017,"102,475",Lake Stevens Middle School,All Students,Middle,1711,1889,0.905770248808894
2017,"102,472",Lake Stevens Sr High School,All Students,High,4476,5585,0.801432408236347
2017,"101,524",Lake Washington High,All Students,High,4025,4678,0.860410431808465
2017,"102,191",Lakeridge Middle School,All Students,Middle,1620,1834,0.883315158124318
2017,"102,235",Lakes High School,All Students,High,3050,4271,0.714118473425427
2017,"102,756",Lakeside High School,All Students,High,1375,1587,0.866414618777568
2017,"102,757",Lakeside Middle School,All Students,Middle,950,1063,0.893697083725306
2017,"102,640",Lakewood High School,All Students,High,1656,2201,0.752385279418446
2017,"102,639",Lakewood Middle School,All Students,Middle,1422,1669,0.852007189934092
2017,"101,192",Lakota Middle School,All Students,Middle,1990,2371,0.839308308730493
2017,"103,128",Lamont Middle School,All Students,Middle,75,95,0.789473684210526
2017,"100,639",Laurin Middle School,All Students,Middle,1669,1916,0.871085594989562
2017,"100,607",Legacy High School,All Students,High,409,796,0.513819095477387
2017,"100,358",Legacy High School,All Students,High,411,786,0.522900763358779
2017,"101,643",Leota Middle School,All Students,Middle,2166,2407,0.899875363523058
2017,"102,700",Lewis & Clark High School,All Students,High,4611,5710,0.80753064798599
2017,"103,199",Lewis & Clark Middle School,All Students,Middle,1898,2553,0.743439091265178
2017,"100,550",Lewis and Clark High School,All Students,High,152,302,0.503311258278146
2017,"101,965",Liberty Bell Jr Sr High,All Students,High,534,794,0.672544080604534
2017,"102,837",Liberty High School,All Students,High,295,436,0.676605504587156
2017,"102,838",Liberty Jr High & Elementary,All Students,High,803,915,0.877595628415301
2017,"105,208",Liberty Middle School,All Students,Middle,1857,2184,0.850274725274725
2017,"104,207",Liberty Middle School,All Students,Middle,2163,2342,0.923569598633646
2017,"101,473",Liberty Sr High School,All Students,High,3392,3904,0.868852459016394
2017,"100,486",Lincoln High School,All Students,High,155,294,0.527210884353742
2017,"103,022",Lincoln High School,All Students,High,197,631,0.312202852614897
2017,"102,661",Lincoln Hill High School,All Students,High,272,441,0.616780045351474
2017,"100,346",Lincoln Middle School,All Students,Middle,1018,1226,0.830342577487765
2017,"103,138",Lincoln Middle School,All Students,Middle,1684,1873,0.899092365189535
2017,"105,556",Lind Ritzville Middle School,All Students,Middle,156,200,0.78
2017,"101,346",Lindbergh Senior High School,All Students,High,2816,3814,0.738332459360252
2017,"100,337",Lind-Ritzville High School,All Students,High,115,165,0.696969696969697
2017,"105,541",Lind-Ritzville Middle School,All Students,Middle,124,149,0.832214765100671
2017,"102,239",Lochburn Middle School,All Students,Middle,1276,1781,0.716451431779899
2017,"103,827",Loowit High School,All Students,High,43,106,0.405660377358491
2017,"102,347",Lopez Middle High School,All Students,Middle,196,299,0.655518394648829
2017,"101,816",Lyle High School,All Students,High,176,253,0.695652173913044
2017,"101,817",Lyle Middle School,All Students,Middle,118,149,0.791946308724832
2017,"103,097",Lynden High School,All Students,High,2388,2635,0.906261859582543
2017,"103,095",Lynden Middle School,All Students,Middle,1711,1846,0.926868905742145
2017,"102,554",Lynnwood High School,All Students,High,3606,4346,0.829728485964105
2017,"105,533",Mabton Jr. Sr. High,All Students,High,866,1170,0.74017094017094
2017,"101,091",Madison Middle School,All Students,Middle,2173,2462,0.882615759545085
2017,"102,228",Mann Middle School,All Students,Middle,1072,1259,0.851469420174742
2017,"100,738",Mansfield Elem and High School,All Students,High,221,298,0.741610738255034
2017,"100,426",Manson High School,All Students,High,454,611,0.743044189852701
2017,"105,530",Manson Middle School,All Students,Middle,389,458,0.849344978165939
2017,"101,439",Maple View Middle School,All Students,Middle,1875,2015,0.930521091811414
2017,"101,748",Marcus Whitman Middle School,All Students,Middle,1820,2185,0.832951945080092
2017,"102,493",Mariner High School,All Students,High,5493,6769,0.811493573644556
2017,"100,673",Mark Morris High School,All Students,High,2089,2912,0.717376373626374
2017,"101,921",Mary M Knight High School,All Students,High,122,175,0.697142857142857
2017,"102,903",Mary Walker High School,All Students,High,292,494,0.591093117408907
2017,"103,839",Marysville Arts and Technology High School,All Students,High,508,812,0.625615763546798
2017,"102,584",Marysville Middle School,All Students,Middle,1963,2445,0.802862985685072
2017,"102,590",Marysville Mountain View High School,All Students,High,228,580,0.393103448275862
2017,"105,222",Marysville Pilchuck High School,All Students,High,2650,3836,0.690823774765381
2017,"101,597",Mattson Middle School,All Students,Middle,1661,1902,0.8732912723449
2017,"101,467",Maywood Middle School,All Students,Middle,3081,3266,0.943355786895285
2017,"101,134",McClure Middle School,All Students,Middle,1444,1650,0.875151515151515
2017,"100,334",McFarland Middle School,All Students,Middle,2535,2782,0.911214953271028
2017,"101,333",McKnight Middle School,All Students,Middle,3283,3748,0.875933831376734
2017,"100,759",Mcloughlin Middle School,All Students,Middle,3814,4288,0.889458955223881
2017,"100,539",Mcloughlin Middle School,All Students,Middle,2299,2918,0.787868403015764
2017,"101,312",McMurray Middle School,All Students,Middle,1043,1155,0.903030303030303
2017,"102,768",Mead Alternative High School,All Students,High,290,338,0.857988165680473
2017,"102,770",Mead Senior High School,All Students,High,4273,4879,0.875794220127075
2017,"102,536",Meadowdale High School,All Students,High,4227,4886,0.865124846500205
2017,"102,530",Meadowdale Middle School,All Students,Middle,1977,2254,0.877107364685004
2017,"104,160",Medical Lake Alternative High School,All Students,High,82,123,0.666666666666667
2017,"102,760",Medical Lake High School,All Students,High,1282,1639,0.782184258694326
2017,"102,765",Medical Lake Middle School,All Students,Middle,1061,1204,0.881229235880399
2017,"101,592",Meeker Middle School,All Students,Middle,1688,1990,0.848241206030151
2017,"101,117",Mercer International Middle School,All Students,Middle,3089,3397,0.909331763320577
2017,"101,243",Mercer Island High School,All Students,High,3764,4406,0.854289605083977
2017,"103,102",Meridian High School,All Students,High,1272,1593,0.7984934086629
2017,"103,104",Meridian Middle School,All Students,Middle,798,885,0.901694915254237
2017,"101,578",Meridian Middle School,All Students,Middle,1761,1976,0.891194331983806
2017,"102,800",Mica Peak High School,All Students,High,75,337,0.222551928783383
2017,"100,973",Middle College High School,All Students,Middle,184,498,0.369477911646586
2017,"101,706",Middle School Options,All Students,Middle,77,88,0.875
2017,"104,031",Mill Creek Middle School,All Students,Middle,2225,2625,0.847619047619048
2017,"100,860",Miller Junior High,All Students,Middle,1138,1422,0.80028129395218
2017,"102,614",Monroe High School,All Students,High,4063,5086,0.798859614628392
2017,"100,888",Montesano Jr-Sr High,All Students,High,1736,1940,0.894845360824742
2017,"100,670",Monticello Middle School,All Students,Middle,1177,1490,0.78993288590604
2017,"101,771",Morgan Middle School,All Students,Middle,1936,2161,0.895881536325775
2017,"102,275",Morris Ford Middle School,All Students,Middle,2462,2831,0.869657364888732
2017,"101,832",Morton Junior-Senior High,All Students,Middle,218,483,0.451345755693582
